議題,面向,衝擊程度,發生機率,類型
公司治理與董事會運作完善,G,2.75,2.7,正面
消費者個資與隱私保護,G,2.61,2.5,正面
品牌責任與消費者溝通,G,2.86,2.66,正面
提升營運與財務績效,G,2.82,2.7,正面
誠信經營不當或舞弊風險,G,2.73,-1.78,負面
風險管理機制不足,G,2.54,-1.37,負面
違反法規,G,2.59,-1.37,負面
供應鏈管理失當,G,2.56,-1.38,負面
資安管理失當,G,2.56,-1.3,負面
提升氣候變遷調適與減碳轉型能力,E,2.56,2.58,正面
導入能源管理與低碳能源,E,2.61,2.7,正面
提升水資源管理效率,E,2.42,2.66,正面
導入綠色採購與永續原料來源,E,2.54,2.61,正面
開發綠色永續商品,E,2.35,2.52,正面
循環經濟與資源再利用,E,2.42,2.51,正面
保護生物多樣性,E,1.98,2.12,正面
推動包裝減量與減塑,E,2.33,2.33,正面
碳排及氣候風險管理不足,E,2.3,-1.44,負面
能源使用效率不佳或轉型不足,E,2.38,-1.56,負面
空氣污染排放未符合規範,E,2.54,-1.63,負面
水資源管理不當,E,2.44,-1.42,負面
廢棄物處理不當,E,2.47,-1.49,負面
提升員工薪酬福利與照顧,S,2.66,2.45,正面
強化人才招募、留任與發展,S,2.61,2.45,正面
強化職業安全與健康管理,S,2.81,2.73,正面
促進職場性別平等與多元性,S,2.47,2.5,正面
深化社會參與在地關懷,S,2.28,2.24,正面
消費者健康與安全,S,2.91,2.81,正面
產品品質與產品責任,S,2.91,2.81,正面
發生職業災害風險,S,2.58,-1.61,負面
人權侵害或不當對待,S,2.51,-1.28,負面
勞資關係溝通不良,S,2.48,-1.35,負面
